Ticker,Sector,credit_rating,ROA,ROE,ROCE,EBIT_Margin,Current_Ratio,Debt/Assets,Debt/Equity,Net_Debt/EBITDA,Asset_Turnover,WCTA,RETA,Market_to_Book,Revenue_Growth_YoY,Log_Revenue,Market_Cap
BCM,RealEstate,A,0.0583,0.1586,0.09680961349568144,0.5446903750436963,1.447740940904449,0.6171720640388971,1.612139569933592,8.46706087776705,0.11447492677490877,0.15935877660853867,0.39724075853098095,,0.3122197209653987,22.665234284407273,
DSC,FinancialServices,BBB,0.042800000000000005,0.1014,,,1.743930712740623,0.5712639437357048,1.3324373711725988,,0.09844349675389415,0.4242301882821597,0.38900139916883636,,0.3814235332014925,20.359432384774216,
GEX,Manufacturing,A,0.0232,0.0553,0.08763514215411175,0.11374275795681574,1.80837987944409,0.5899912640205746,1.4389724224075577,4.129897109743336,0.542285199756853,0.23941074659245837,0.35620546230252614,,0.17169485932272693,24.409846973425598,
TCX,Banking,AA-,0.0849,0.16149999999999998,,,2.187877717053974,0.4530776909351933,0.8284132561897499,,0.1391183495600169,0.5158708824870903,0.4143019241965942,,0.4730208123094511,23.14073434486806,
MSB,Banking,A,0.0155,0.142,,,,0.8958823370071624,8.604518304149705,40.523316517004794,,,0.1041177095987109,,,,
BSI,FinancialServices,A+,0.0366,0.0932,,,1.4651730808468326,0.6675583194168025,2.008046398531361,,0.1261259142920624,0.30998698123792856,0.34154647652623416,,0.48666026052023525,21.463864405915306,
TVS,FinancialServices,A-,0.0381,0.10880000000000001,,,1.636928480244172,0.6153249308500021,1.5995965951462947,,0.13185367192872166,0.36544089991816026,0.351872892027494,,-0.12353992332707613,20.730737559973655,
VCP,Energy,A-,0.08,0.1973,0.10396390016243166,0.24042215307859321,2.814063784164752,0.6107480490468505,1.5690301552794543,3.7639906217529675,0.36218319772327584,0.2946615152323007,0.4010382311674788,,0.29015392768860476,21.550417992035765,
CTD,Manufacturing,BBB+,0.0174,0.052000000000000005,0.05913060207870175,0.02142799023016314,1.3519422183359957,0.6981577209224497,2.3129885019953638,22.11148945064731,0.8378243486491478,0.24508755427151327,0.3046136665791988,,0.1824387112604085,23.937516166646684,
VCB,Banking,AAA,0.0155,0.166,,,,0.9068212543751965,9.732061193725775,46.58058496233134,,,0.09476426473170782,,,,
HUT,Manufacturing,BBB+,0.99,0.026600000000000002,0.009891723004020551,0.00980083426654074,1.5573127346031885,0.6434881053162403,1.8049555005367772,9.307342416980125,0.6692423067508119,0.1877625248146944,0.2201745050916128,,0.22334227035544366,24.334307410782113,
SGR,RealEstate,BBB+,0.0377,0.0779,0.0702446263567948,0.5422807655268069,1.8700068234381664,0.4737434231995918,0.9002137811810781,8.341242890379782,0.080067587815689,0.33224434429218347,0.38854276917951464,,0.45665222858582877,19.212014821685564,
VHM,RealEstate,A,0.060899999999999996,0.1754,0.11458420954001292,0.32805902377290963,1.4509622905818442,0.6847489809149601,2.1720753921821485,9.663223424412344,0.19596545362776405,0.1979468880713637,0.3342615933077558,,0.506035806977316,25.76088303664815,
TPB,Banking,AA-,0.016,0.1765,,,,0.9090307463178084,9.992725118902055,36.934441196482524,,,0.08890431849690354,,,,
MBS,FinancialServices,A+,0.042699999999999995,0.1518,,,1.4406357347679912,0.7402289789381387,2.8495440943039685,,0.11825403310451754,0.3038136178112657,0.26984444785254846,,0.16634504525261243,22.015091578925446,
