Ticker,Sector,Company_Name,Exchange,ROA,ROE,ROCE,EBIT_Margin,Current_Ratio,Revenue_Growth_YoY,Log_Revenue,Market_Cap,Debt/Assets,Debt/Equity,Net_Debt/EBITDA,Asset_Turnover,WCTA,RETA,Market_to_Book,_Revenue,_Net_Income,_EBIT,_Total_Assets,_Total_Equity,_Total_Debt,_Current_Assets,_Current_Liabilities,_Is_Bank,Credit_Rating,Has_Rating,data_source
BID,Banking,BID,HOSE,0.009151564016022,0.1755817629502871,0.3505552244999252,1.0,1.0516305109229942,0.0923,24.831847732318845,0.0,0.9478786187002056,18.185984236452803,0.0190208716750732,0.0182714225227956,0.0344609833355074,0.0134585671687318,1.57,60860350000.0,30482979000.0,60860350000.0,3330903761000.0,173611305000.0,0.0,,,True,,False,vietnam
CTG,Banking,CTG,HOSE,0.0125943746851401,0.1940392609643331,0.338140785213386,1.0,1.0912792104935882,0.0649,24.829934313499106,0.0,0.935093678348656,14.406819775917638,0.0240102835593447,0.0219474745684981,0.0591575992377495,0.0210288729704126,1.07,60744010000.0,34857442000.0,60744010000.0,2767699300000.0,179641181000.0,0.0,,,True,,False,vietnam
VNM,Manufacturing,VNM,HOSE,0.1765742098015205,0.2729920702677613,0.3354999999999999,0.1882,1.957916895497276,0.0302,24.87660053703372,0.0,0.3531892350267549,0.5460472431088317,0.5561667798621905,1.1938296102766426,0.3327725750965876,0.1598611411831731,3.71,63645886756.0,9413589732.0,11659774989.0,53312370717.0,34483015286.0,9456644558.0,36261180908.0,18520286020.0,False,,False,vietnam
FPT,Technology,FPT,HOSE,0.1274329821058291,0.2565747881642088,0.3309,0.1975,1.3982930530930886,0.1156,24.973371575250205,0.0,0.5033300698887392,1.0134095892940134,0.6647112739933404,0.7959260597134102,0.1878789499554597,0.1626103530762599,3.73,70112825565.0,11225523196.0,12946913204.0,88089621780.0,43751466293.0,21073487486.0,58102970742.0,41552785100.0,False,,False,vietnam
HPG,Manufacturing,HPG,HOSE,0.060153677280524,0.1182360180303828,0.1352,0.1355,1.1005575848566156,0.1243,25.77386576369485,0.0,0.4912406702955097,0.9655659200925124,3.1801377336863044,0.6052851171380547,0.0367297461348556,0.1978694930854967,1.54,156116094618.0,15514931572.0,17905833948.0,257921581413.0,131220010877.0,92174151302.0,103682043128.0,94208648920.0,False,,False,vietnam
TCB,Banking,TCB,HOSE,0.0217676014789679,0.1445919972052369,0.2058963459469033,1.0,1.2233068995878384,0.0746,24.3330666664531,0.0,0.8494550051198851,5.642532359155087,0.0320000659339846,0.0309966643464109,0.1159121865166683,0.0526471964360403,1.38,36958691000.0,25954472000.0,36958691000.0,1192344137000.0,179501442000.0,0.0,,,True,,False,vietnam
MWG,Retail,MWG,HOSE,0.0842739040065339,0.2132528832366974,0.3298,0.0646,1.5205834679339192,0.1646,25.77605233428547,0.0,0.60481704760608,1.5304735285872528,2.361272537077733,1.8635111905568276,0.3148577561083274,0.2152480467145927,3.94,156457826954.0,7075520639.0,8667415103.0,83958619485.0,33179015128.0,29930942962.0,77214626895.0,50779604358.0,False,,False,vietnam
