Ticker,Sector,Company_Name,Exchange,ROA,ROE,ROCE,EBIT_Margin,Current_Ratio,Revenue_Growth_YoY,Log_Revenue,Market_Cap,Debt/Assets,Debt/Equity,Net_Debt/EBITDA,Asset_Turnover,WCTA,RETA,Market_to_Book,_Revenue,_Net_Income,_EBIT,_Total_Assets,_Total_Equity,_Total_Debt,_Current_Assets,_Current_Liabilities,_Is_Bank,Credit_Rating,Has_Rating
VCB,Banking,VCB,HOSE,0.01441419213776509,0.1546939920806159,0.20746309034800298,1.0,0.9856642911155038,0.059000000000000004,24.577771926654606,0.0,0.9068212543751965,9.732061193725775,0.024027879730136866,0.019331150522072214,-0.00981886145749421,0.04178154823419729,2.11,47205296000.0,35198433000.0,47205296000.0,2441928945000.0,227535876000.0,0.0,,,True,AAA,True
BID,Banking,BID,HOSE,0.009151564016022016,0.17558176295028713,0.35055522449992527,1.0,1.0516305109229942,0.09230000000000001,24.831847732318845,0.0,0.9478786187002056,18.185984236452803,0.019020871675073294,0.018271422522795608,0.03446098333550742,0.013458567168731837,1.57,60860350000.0,30482979000.0,60860350000.0,3330903761000.0,173611305000.0,0.0,,,True,,False
CTG,Banking,CTG,HOSE,0.01259437468514011,0.1940392609643331,0.33814078521338603,1.0,1.0912792104935882,0.0649,24.829934313499106,0.0,0.9350936783486559,14.406819775917638,0.02401028355934476,0.0219474745684981,0.05915759923774956,0.021028872970412647,1.07,60744010000.0,34857442000.0,60744010000.0,2767699300000.0,179641181000.0,0.0,,,True,,False
VNM,Manufacturing,VNM,HOSE,0.17657420980152058,0.27299207026776134,0.33549999999999996,0.1882,1.9579168954972759,0.0302,24.876600537033717,0.0,0.3531892350267549,0.5460472431088317,0.5561667798621905,1.1938296102766426,0.3327725750965876,0.1598611411831731,3.71,63645886756.0,9413589732.0,11659774989.0,53312370717.0,34483015286.0,9456644558.0,36261180908.0,18520286020.0,False,,False
FPT,Technology,FPT,HOSE,0.12743298210582918,0.25657478816420887,0.3309,0.1975,1.3982930530930886,0.11560000000000001,24.973371575250205,0.0,0.5033300698887392,1.0134095892940134,0.6647112739933404,0.7959260597134102,0.18787894995545978,0.16261035307625996,3.73,70112825565.0,11225523196.0,12946913204.0,88089621780.0,43751466293.0,21073487486.0,58102970742.0,41552785100.0,False,,False
HPG,Manufacturing,HPG,HOSE,0.060153677280524,0.1182360180303828,0.1352,0.1355,1.1005575848566156,0.1243,25.77386576369485,0.0,0.4912406702955097,0.9655659200925125,3.1801377336863044,0.6052851171380547,0.036729746134855676,0.19786949308549678,1.54,156116094618.0,15514931572.0,17905833948.0,257921581413.0,131220010877.0,92174151302.0,103682043128.0,94208648920.0,False,,False
VIC,RealEstate,VIC,HOSE,0.009939268043001643,0.07359575791192254,0.1286,0.16620000000000001,1.1156547014083138,0.7601,26.53071842533881,0.0,0.8649478132299867,6.404545042302404,6.27303094626834,0.29673035496817984,0.061094611999702945,0.04963932153448505,8.66,332770342000.0,11146462000.0,9446831000.0,1121457028000.0,151455224000.0,335389720000.0,660924812000.0,592409830000.0,False,A,True
HDB,Banking,HDB,HOSE,0.018314553258572952,0.21788526522155532,0.39702178778033553,1.0,0.9613965442028816,0.126,24.159597162830945,0.0,0.9159440486260055,10.896837566570962,0.03731730447485014,0.033372044088080255,-0.023247212136528035,0.01841510408146458,1.46,31072753000.0,17052704000.0,31072753000.0,931101281000.0,78264604000.0,0.0,,,True,A,True
TCB,Banking,TCB,HOSE,0.02176760147896798,0.14459199720523694,0.20589634594690331,1.0,1.2233068995878384,0.0746,24.3330666664531,0.0,0.8494550051198851,5.642532359155087,0.03200006593398463,0.03099666434641092,0.11591218651666839,0.05264719643604034,1.38,36958691000.0,25954472000.0,36958691000.0,1192344137000.0,179501442000.0,0.0,,,True,,False
MWG,Retail,MWG,HOSE,0.08427390400653394,0.2132528832366974,0.3298,0.0646,1.5205834679339192,0.1646,25.77605233428547,0.0,0.60481704760608,1.5304735285872528,2.3612725370777334,1.8635111905568273,0.31485775610832745,0.21524804671459277,3.94,156457826954.0,7075520639.0,8667415103.0,83958619485.0,33179015128.0,29930942962.0,77214626895.0,50779604358.0,False,,False
