Ticker,Sector,Company_Name,Exchange,ROA,ROE,ROCE,EBIT_Margin,Current_Ratio,Revenue_Growth_YoY,Log_Revenue,Market_Cap,Debt/Assets,Debt/Equity,Net_Debt/EBITDA,Asset_Turnover,WCTA,RETA,Market_to_Book,_Revenue,_Net_Income,_EBIT,_Total_Assets,_Total_Equity,_Total_Debt,_Is_Bank,Has_Rating
HPG,Other,HPG,,0.060153677278961426,0.11823601802776317,0.09,0.11394131162392236,1.8,0.12642825179953457,32.69571721822744,221053416624000.0,0.4912406702935762,0.9655659200924009,-0.4601229446563017,0.6138777417023836,0.0,0.19786949308719234,1.7112323498,158332317934212.0,15514931571606.0,18040591977880.0,257921581413150.0,131220010876575.0,0.0,False,False
REE,Other,REE,,0.07858647829752538,0.1270119760332623,0.09,0.3508030719006874,1.8,0.1942851246848851,29.936158039732966,33474472990200.0,0.3812671784828787,0.6162064872330818,-0.8660330377362445,0.2501643061782356,0.0,0.3519148809826832,1.5981434289,10025550895018.0,3149421073967.0,3516994051469.0,40075864731378.0,24796252859984.0,0.0,False,False
PNJ,Other,PNJ,,0.1402852083426291,0.2131207500581659,0.09,0.10022584659086135,1.8,-0.07380681003659322,31.1980320329337,41606745385400.0,0.3417571573657572,0.5191961617054102,-0.1470884679301237,1.7557395024981044,0.0,0.2187478088524292,3.1340399054,35410589612616.0,2829338825192.0,3549056322206.0,20168475768890.0,13275754821714.0,0.0,False,False
