Credit_Rating,Name,Ticker,Rating Agency Name,Date,Sector,Current_Ratio,_quickRatio,_cashRatio,_dso,_netProfitMargin,_pretax_margin,_grossProfitMargin,EBIT_Margin,ROA,ROCE,ROE,Asset_Turnover,_fixedAssetTurnover,Debt/Equity,Debt/Assets,_tax_rate,_fcf_ocf_ratio,_fcf_per_share,_cash_per_share,_equityMultiplier,_ebitPerRevenue,_ev_multiple,_ocf_per_share,_ocf_sales_ratio,_payablesTurnover,Net_Debt/EBITDA,WCTA,RETA,Market_to_Book,Revenue_Growth_YoY,Log_Revenue,Market_Cap,data_source,Company_Name,Exchange,_Revenue,_Net_Income,_EBIT,_Total_Assets,_Total_Equity,_Total_Debt,_Current_Assets,_Current_Liabilities,_Is_Bank,Has_Rating,ROA_SectorRatio,ROE_SectorRatio,EBIT_Margin_SectorRatio,Current_Ratio_SectorRatio,Debt/Assets_SectorRatio,Asset_Turnover_SectorRatio,Net_Debt/EBITDA_SectorRatio
BB,"Diamondback Energy, Inc.",FANG,Standard & Poor's Ratings Services,2016-12-15,Energy,8.560948114,8.223017837,7.961011168,500.0,-53.86227154,-53.75848564,1.0,-1.0,-0.030849322,-0.032043807,-0.044634401,0.000572745,0.000903606,0.446851922,0.308844267,-0.001165643,1.0,4.423192189,21.99174181,1.446851922,-53.75848564,65.07981537,4.423192189,5.0,0.0,30.0,0.2649571524082245,-0.0267806406,0.446851922,0.05,3.13513509971551,1000000000.0,kaggle,,,,,,,,,,,,,0.0,0.0,0.0,5.707298742666667,0.617688534,0.00114549,10.0
BBB,Tenneco Inc.,TEN,Standard & Poor's Ratings Services,2016-12-14,Manufacturing,1.318803852,0.8205778,0.175874303,53.99232469,0.041400163,0.049308059,0.171647866,0.049308059,0.081914404,0.17867678,0.621291449,1.978601012,6.336772292,6.584642234,0.868154625,-0.224056604,0.335378323,2.931757883,6.203170643,7.584642234,0.049308059,7.448700912,8.741643931,0.056867078,4.745502998,30.0,0.0725211375861222,0.3727748694,6.584642234,0.06,2.0,1000000000.0,kaggle,,,,,,,,,,,,,1.3652400666666666,5.177428741666667,0.5478673222222222,0.7326688066666667,1.9292325,1.978601012,10.0
A,Starbucks Corporation,SBUX,Standard & Poor's Ratings Services,2016-12-14,Retail,1.046977061,0.666827949,0.468187116,13.16444532,0.13218771,0.196970337,0.600715898,0.195717751,0.19663631,0.429190604,0.478874915,1.487553648,4.701552781,1.435333107,0.589378555,0.328609537,0.685187209,2.130198423,1.537917912,2.435333107,0.196970337,15.13502499,3.108929057,0.214633208,11.64946619,9.034109864669352,0.0134607708468218,0.287324949,1.435333107,0.04,2.0,1000000000.0,kaggle,,,,,,,,,,,,,2.809090142857143,3.1924994333333334,3.91435502,0.6979847073333333,1.4734463875,0.8264186933333333,4.517054932334676
BB,PVH Corp.,PVH,Standard & Poor's Ratings Services,2016-12-14,Manufacturing,1.841671032,0.917234154,0.364326873,29.90885628,0.071368901,0.080732641,0.518883334,0.094821889,0.053513332,0.070616848,0.125738638,0.749813021,10.7712866,1.349669398,0.574408212,0.115984556,0.706758559,7.707986367,9.01487679,2.349669398,0.080732641,9.274397825,10.90610968,0.11216538,6.066184562,18.173278914534173,0.1371044585122192,0.0754431828,1.349669398,0.06,2.304071666495924,1000000000.0,kaggle,,,,,,,,,,,,,0.8918888666666667,1.0478219833333335,1.0535765444444445,1.0231505733333333,1.2764626933333334,0.749813021,7.269311565813669
B,"Post Holdings, Inc.",POST,Standard & Poor's Ratings Services,2016-12-14,Manufacturing,3.275867508,2.411041009,1.803785489,27.95516034,-0.000656481,-0.005987905,0.307830031,0.108558128,-0.000352542,-0.003449224,-0.001096856,0.537016858,3.711458949,2.111280994,0.678588979,0.890365449,0.758160828,5.536337209,16.62209302,3.111280994,-0.005987905,10.19564463,7.302325581,0.099944299,13.15960666,18.752782260578407,0.2084212046832267,-0.0006581136,2.111280994,0.06,2.869153400059593,1000000000.0,kaggle,,,,,,,,,,,,,0.0,0.0,1.2062014222222224,1.8199263933333334,1.5079755088888889,0.537016858,7.501112904231363
BB,NCR Corporation,NCR,Standard & Poor's Ratings Services,2016-12-14,Other,1.403053435,0.905852417,0.253435115,71.5161241,0.041265475,0.057924499,0.678740639,0.091548219,0.035188323,0.066398038,0.388489209,0.852730353,22.79790941,10.04028777,0.909422651,0.242744063,0.918344519,6.536624204,3.964968153,11.04028777,0.057924499,8.361314952,7.117834395,0.136634571,2.691421255,29.801431232649104,0.0861806311033335,0.2330935254,10.04028777,0.05,2.0,1000000000.0,kaggle,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BB,Open Text Corporation,OTEX,Standard & Poor's Ratings Services,2016-12-14,Technology,2.492102428,2.356828095,1.913117019,57.2049985,0.155943775,0.15939729,0.685346349,0.202037794,0.05519384,0.064860482,0.143772844,0.353934232,9.932636393,1.604871185,0.616103857,0.021604185,0.866832661,3.751866824,10.66658983,2.604871185,0.15939729,7.295155984,4.328248108,0.288188757,2.229559138,9.148345635767534,0.1796197152134069,0.0862637064,1.604871185,0.15,2.456729186799616,1000000000.0,kaggle,,,,,,,,,,,,,0.613264888888889,0.898580275,1.1224321888888888,0.9968409711999999,3.080519285,0.41639321411764707,10.0
BB,"SS&C Technologies Holdings, Inc.",SSNC,Standard & Poor's Ratings Services,2016-12-14,Technology,0.740445039,0.640115942,0.20969097,92.05464412,0.136911823,0.171004953,0.711698793,0.301732562,0.022953682,0.031792654,0.057999325,0.167653033,11.90112569,1.526798278,0.60424225,0.199369255,0.933256375,1.949948065,0.587050317,2.526798278,0.171004953,16.63762019,2.089402353,0.437302399,48.5439054,6.007726637074059,-0.1051617394927268,0.0347995949999999,1.5267982779999998,0.15,2.0,1000000000.0,kaggle,,,,,,,,,,,,,0.2550409111111111,0.36249578125,1.676292011111111,0.2961780156,3.02121125,0.1972388623529412,7.5096582963425735
B,Noble Corporation,NE,Moody's Investors Service,2016-12-13,Energy,1.883194667,1.659768859,1.145949821,50.60260245,-0.403802673,-0.420070241,1.0,-0.330983704,-0.081256162,-0.089483182,-0.161422381,0.2012274,0.228789197,0.986586338,0.496623942,0.11287769,1.0,4.640710411,3.010640529,1.986586338,-0.420070241,-34.78418097,4.640710411,0.490117351,0.0,30.0,0.1406962353616308,-0.0968534286,0.986586338,0.05,2.0,1000000000.0,kaggle,,,,,,,,,,,,,0.0,0.0,0.0,1.2554631113333332,0.993247884,0.4024548,10.0
B,Rite Aid Corporation,RAD,Standard & Poor's Ratings Services,2016-12-13,Healthcare,1.518480627,0.575755574,0.04153332,19.0120845,0.005383312,0.009057719,0.254622843,0.009057719,0.014672772,0.033623205,0.284583818,2.725603418,13.62804126,18.39536796,0.948441298,0.405665867,0.328259819,0.319615727,0.121508976,19.39536796,0.009057719,200.0,0.973666921,0.032449918,14.8499135,30.0,0.1024340945378422,0.1707502907999999,18.39536796,0.08,2.0,1000000000.0,kaggle,,,,,,,,,,,,,0.20961102857142855,2.032741557142857,0.07548099166666668,0.7592403135,2.70983228,3.8937191685714287,10.0
